10359.55 ,   0.08
10359.69 ,   0.08
10359.83 ,   0.08
10359.96 ,   0.08
10360.1 ,    0.08
10360.24 ,   0.08
10360.38 ,   0.08
10360.51 ,   0.08
10360.65 ,   0.08
10360.79 ,   0.08
10360.93 ,   0.08
10361.06 ,   0.08
10361.2 ,    0.08
10361.34 ,   0.08
10361.48 ,   0.08
10361.61 ,   0.08
10361.75 ,   0.08
10361.89 ,   0.08
10362.03 ,   0.08
10362.16 ,   0.08
10362.3 ,    0.09
10362.44 ,   0.09
10362.58 ,   0.09
10362.71 ,   0.09
10362.85 ,   0.09
10362.99 ,   0.09
10363.13 ,   0.09
10363.26 ,   0.09
10363.4 ,    0.09
10363.54 ,   0.09
10363.68 ,   0.09
10363.81 ,   0.09
10363.95 ,   0.09
10364.09 ,   0.1
10364.23 ,   0.1
10364.36 ,   0.1
10364.5 ,    0.1
10364.64 ,   0.11
10364.78 ,   0.11
10364.91 ,   0.11
10365.05 ,   0.11
10365.19 ,   0.11
10365.33 ,   0.11
10365.46 ,   0.11
10365.6 ,    0.12
10365.74 ,   0.12
10365.88 ,   0.12
10366.01 ,   0.12
10366.15 ,   0.13
10366.29 ,   0.13
10366.43 ,   0.13
10366.56 ,   0.13
10366.7 ,    0.14
10366.84 ,   0.14
10366.98 ,   0.14
10367.11 ,   0.15
10367.25 ,   0.15
10367.39 ,   0.15
10367.53 ,   0.15
10367.66 ,   0.16
10367.8 ,    0.16
10367.94 ,   0.17
10368.08 ,   0.17
10368.21 ,   0.17
10368.35 ,   0.18
10368.49 ,   0.18
10368.63 ,   0.18
10368.76 ,   0.19
10368.9 ,    0.2
10369.04 ,   0.2
10369.17 ,   0.2
10369.31 ,   0.21
10369.45 ,   0.21
10369.59 ,   0.22
10369.72 ,   0.22
10369.86 ,   0.23
10370 ,      0.24
10370.14 ,   0.24
10370.27 ,   0.25
10370.41 ,   0.26
10370.55 ,   0.26
10370.69 ,   0.27
10370.82 ,   0.28
10370.96 ,   0.28
10371.1 ,    0.29
10371.24 ,   0.3
10371.37 ,   0.31
10371.51 ,   0.32
10371.65 ,   0.33
10371.79 ,   0.34
10371.92 ,   0.35
10372.06 ,   0.36
10372.2 ,    0.38
